MARCH  2010,,,,,,,,,,,,,
Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,,1,,2,,3,,4,,5,,6,
,,,,,,,,,,,,,
,,,,,,,,,,,,WORK PARTY,
,,,,,,,,,,,,8-1PM,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,,8,Spring Clinics,9,Spring Clinics,10,Spring Clinics,11,Spring Clinics,12,Springs Clinic,13,
,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
14,Daylight Savings,15,Spring Clinics,16,Spring Clinics,17,St. Patrick's Day,18,Spring Clinics,19,Springs Clinic,20,
,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
21,,22,Spring Clinics,23,Spring Clinics,24,Spring Clinics,25,Spring Clinics,26,Springs Clinic,27,
,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28,,29,Spring Clinics,30,Spring Clinics,31,Spring Clinics,,,,,,
,,Lap Swimming TBA,,Lap Swimming TBA,,Lap Swimming TBA,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Notes:,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,www.vertex42.com,,,© 2009 Vertex42 LLC
